2025-11-07 21:18:40 | scripts.extraction_pipeline.extractor_core | INFO | 🧩 Logger initialized for PREPROCESSING → /opt/airflow/logs/extraction_logs/preprocessing_20251107_211840.log
2025-11-07 21:18:40 | scripts.extraction_pipeline.extractor_core | INFO | 🧩 Logger initialized for PREPROCESSING → /opt/airflow/logs/extraction_logs/preprocessing_20251107_211840.log
2025-11-07 21:18:50 | scripts.extraction_pipeline.extractor_core | INFO | 📄 Extracting text from PDF: Model_pipeline.pdf
2025-11-07 21:18:50 | scripts.extraction_pipeline.extractor_core | INFO | 📄 Extracting text from PDF: Model_pipeline.pdf
2025-11-07 21:18:50 | scripts.extraction_pipeline.extractor_core | INFO | Detected 4 pages in Model_pipeline.pdf
2025-11-07 21:18:50 | scripts.extraction_pipeline.extractor_core | INFO | Detected 4 pages in Model_pipeline.pdf
2025-11-07 21:18:50 | scripts.extraction_pipeline.extractor_core | DEBUG | Page 1/4 processed (native text extraction) in 0.02s
2025-11-07 21:18:50 | scripts.extraction_pipeline.extractor_core | DEBUG | Page 1/4 processed (native text extraction) in 0.02s
2025-11-07 21:18:50 | scripts.extraction_pipeline.extractor_core | DEBUG | Page 2/4 processed (native text extraction) in 0.00s
2025-11-07 21:18:50 | scripts.extraction_pipeline.extractor_core | DEBUG | Page 2/4 processed (native text extraction) in 0.00s
2025-11-07 21:18:50 | scripts.extraction_pipeline.extractor_core | DEBUG | Page 3/4 processed (native text extraction) in 0.00s
2025-11-07 21:18:50 | scripts.extraction_pipeline.extractor_core | DEBUG | Page 4/4 processed (native text extraction) in 0.00s
2025-11-07 21:18:50 | scripts.extraction_pipeline.extractor_core | DEBUG | Page 3/4 processed (native text extraction) in 0.00s
2025-11-07 21:18:50 | scripts.extraction_pipeline.extractor_core | INFO | ✅ Extraction complete for Model_pipeline.pdf | Pages: 4 | Time: 0.04s
2025-11-07 21:18:50 | scripts.extraction_pipeline.extractor_core | DEBUG | Page 4/4 processed (native text extraction) in 0.00s
2025-11-07 21:18:50 | scripts.extraction_pipeline.extractor_core | INFO | ✅ Extraction complete for Model_pipeline.pdf | Pages: 4 | Time: 0.04s
2025-11-07 21:18:50 | scripts.extraction_pipeline.extractor_core | INFO | 📄 Extracting text from PDF: loan_demo2.pdf
2025-11-07 21:18:50 | scripts.extraction_pipeline.extractor_core | INFO | 📄 Extracting text from PDF: loan_demo2.pdf
2025-11-07 21:18:50 | scripts.extraction_pipeline.extractor_core | INFO | Detected 9 pages in loan_demo2.pdf
2025-11-07 21:18:50 | scripts.extraction_pipeline.extractor_core | INFO | Detected 9 pages in loan_demo2.pdf
2025-11-07 21:18:50 | scripts.extraction_pipeline.extractor_core | DEBUG | Page 1/9 processed (native text extraction) in 0.00s
2025-11-07 21:18:50 | scripts.extraction_pipeline.extractor_core | DEBUG | Page 1/9 processed (native text extraction) in 0.00s
2025-11-07 21:18:50 | scripts.extraction_pipeline.extractor_core | DEBUG | Page 2/9 processed (native text extraction) in 0.00s
2025-11-07 21:18:50 | scripts.extraction_pipeline.extractor_core | DEBUG | Page 2/9 processed (native text extraction) in 0.00s
2025-11-07 21:18:50 | scripts.extraction_pipeline.extractor_core | DEBUG | Page 3/9 processed (native text extraction) in 0.00s
2025-11-07 21:18:50 | scripts.extraction_pipeline.extractor_core | DEBUG | Page 3/9 processed (native text extraction) in 0.00s
2025-11-07 21:18:50 | scripts.extraction_pipeline.extractor_core | DEBUG | Page 4/9 processed (native text extraction) in 0.00s
2025-11-07 21:18:50 | scripts.extraction_pipeline.extractor_core | DEBUG | Page 4/9 processed (native text extraction) in 0.00s
2025-11-07 21:18:50 | scripts.extraction_pipeline.extractor_core | DEBUG | Page 5/9 processed (native text extraction) in 0.00s
2025-11-07 21:18:50 | scripts.extraction_pipeline.extractor_core | DEBUG | Page 5/9 processed (native text extraction) in 0.00s
2025-11-07 21:18:50 | scripts.extraction_pipeline.extractor_core | DEBUG | Page 6/9 processed (native text extraction) in 0.00s
2025-11-07 21:18:50 | scripts.extraction_pipeline.extractor_core | DEBUG | Page 6/9 processed (native text extraction) in 0.01s
2025-11-07 21:18:50 | scripts.extraction_pipeline.extractor_core | DEBUG | Page 7/9 processed (native text extraction) in 0.00s
2025-11-07 21:18:50 | scripts.extraction_pipeline.extractor_core | DEBUG | Page 7/9 processed (native text extraction) in 0.00s
2025-11-07 21:18:50 | scripts.extraction_pipeline.extractor_core | DEBUG | Page 8/9 processed (native text extraction) in 0.00s
2025-11-07 21:18:50 | scripts.extraction_pipeline.extractor_core | DEBUG | Page 8/9 processed (native text extraction) in 0.00s
2025-11-07 21:18:50 | scripts.extraction_pipeline.extractor_core | DEBUG | Page 9/9 processed (native text extraction) in 0.00s
2025-11-07 21:18:50 | scripts.extraction_pipeline.extractor_core | DEBUG | Page 9/9 processed (native text extraction) in 0.00s
2025-11-07 21:18:50 | scripts.extraction_pipeline.extractor_core | INFO | ✅ Extraction complete for loan_demo2.pdf | Pages: 9 | Time: 0.04s
2025-11-07 21:18:50 | scripts.extraction_pipeline.extractor_core | INFO | ✅ Extraction complete for loan_demo2.pdf | Pages: 9 | Time: 0.04s
